Year,Medal_Count
1896,6
1900,5
1904,4
1906,13
1908,20
1912,30
1924,22
1928,21
1932,35
1936,43
1948,64
1952,104
1956,66
1960,66
1964,56
1968,81
1972,81
1976,55
1980,63
1988,44
1992,45
1996,43
2000,53
2004,40
2008,27
2012,26
2016,22
