Year,Medal_Count
1900,27
1906,6
1908,16
1912,26
1920,50
1924,27
1928,57
1932,13
1936,37
1948,42
1952,21
1960,5
1964,33
1968,23
1972,15
1976,20
1980,10
1984,41
1988,52
1992,37
1994,4
1996,73
1998,11
2000,79
2002,8
2004,77
2006,13
2008,61
2010,11
2012,69
2014,29
2016,47
