Year,Medal_Count
1900,9
1904,2
1906,25
1908,42
1912,80
1920,137
1924,39
1928,24
1932,10
1936,46
1948,31
1952,32
1956,7
1960,11
1964,15
1968,28
1972,25
1976,16
1980,15
1984,19
1988,33
1992,47
1994,30
1996,23
1998,40
2000,43
2002,41
2004,7
2006,23
2008,22
2010,39
2012,17
2014,36
2016,19
