Year,Medal_Count
1948,2
1952,2
1956,2
1964,3
1968,2
1972,1
1976,17
1984,41
1988,77
1992,56
1994,9
1996,66
1998,12
2000,73
2002,7
2004,52
2006,19
2008,78
2010,18
2012,61
2014,14
2016,26
