Year,Medal_Count
1896,3
1900,21
1904,3
1906,12
1912,2
1920,29
1924,69
1928,42
1932,3
1936,62
1948,64
1952,39
1956,13
1960,14
1964,6
1968,22
1972,25
1976,19
1980,11
1984,21
1988,28
1992,8
1994,16
1996,11
1998,14
2000,14
2002,24
2004,7
2006,21
2008,11
2010,12
2012,4
2014,30
2016,11
