Year,Medal_Count
1900,5
1906,56
1908,8
1912,25
1920,84
1924,51
1928,72
1932,77
1936,76
1948,68
1952,56
1956,55
1960,89
1964,61
1968,41
1972,34
1976,35
1980,40
1984,65
1988,37
1992,66
1994,32
1996,71
1998,17
2000,65
2002,21
2004,104
2006,25
2008,42
2010,5
2012,68
2014,14
2016,72
