Year,Medal_Count
1920,3
1924,1
1928,9
1932,31
1936,23
1952,12
1956,25
1960,31
1964,62
1968,63
1972,59
1976,41
1980,1
1984,50
1988,21
1992,59
1994,10
1996,42
1998,13
2000,44
2002,2
2004,93
2006,1
2008,51
2010,7
2012,84
2014,11
2016,64
