Year,Medal_Count
1906,4
1908,30
1912,71
1920,52
1924,67
1928,29
1932,32
1936,36
1948,42
1952,52
1956,38
1960,19
1964,20
1968,12
1972,20
1976,22
1980,21
1984,31
1988,38
1992,20
1994,30
1996,4
1998,58
2000,5
2002,13
2004,2
2006,41
2008,5
2010,47
2012,5
2014,33
2016,1
