Year,Medal_Count
1896,32
1900,45
1904,16
1906,30
1908,21
1912,53
1928,82
1932,57
1936,231
1952,52
1956,54
1960,98
1964,126
1992,236
1994,40
1996,124
1998,44
2000,118
2002,61
2004,149
2006,54
2008,99
2010,54
2012,94
2014,36
2016,159
