Year,Medal_Count
1896,11
1900,225
1904,2
1906,64
1908,40
1912,26
1920,141
1924,120
1928,52
1932,42
1936,45
1948,77
1952,41
1956,33
1960,15
1964,38
1968,36
1972,25
1976,21
1980,30
1984,70
1988,31
1992,69
1994,11
1996,51
1998,15
2000,66
2002,15
2004,53
2006,15
2008,77
2010,14
2012,82
2014,18
2016,96
