Year,Medal_Count
1900,4
1906,21
1908,84
1912,190
1920,154
1924,81
1928,53
1932,35
1936,45
1948,88
1952,93
1956,49
1960,16
1964,43
1968,25
1972,26
1976,12
1980,43
1984,64
1988,46
1992,42
1994,24
1996,31
1998,7
2000,32
2002,26
2004,12
2006,64
2008,7
2010,18
2012,22
2014,51
2016,28
