Year,Medal_Count
1924,16
1936,1
1952,4
1956,19
1960,15
1964,16
1968,25
1972,40
1976,55
1980,68
1984,106
1988,58
1992,53
1996,38
2000,46
2004,39
2008,22
2012,16
2016,16
