Year,Medal_Count
1900,2
1904,48
1906,2
1908,52
1912,8
1920,16
1924,29
1928,45
1932,59
1936,35
1948,22
1952,21
1956,39
1960,30
1964,12
1968,30
1972,12
1976,26
1980,2
1984,91
1988,29
1992,80
1994,37
1996,50
1998,49
2000,31
2002,74
2004,17
2006,69
2008,35
2010,90
2012,55
2014,86
2016,69
