Year,Medal_Count
1896,9
1900,107
1904,2
1906,39
1908,368
1912,170
1920,111
1924,95
1928,59
1932,35
1936,53
1948,63
1952,32
1956,46
1960,28
1964,30
1968,19
1972,29
1976,33
1980,48
1984,73
1988,54
1992,50
1994,3
1996,26
1998,4
2000,54
2002,6
2004,57
2006,1
2008,81
2010,1
2012,126
2014,10
2016,145
